star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class
Gaia DR3 5853498713190525696,217.39232147200883,-62.67607511676666,768.0665391873573,1.3019705311704333,-3781.741008265163,769.4650146478623,-21.942726135253906,8.984749,3.8045802,11.293077,13.411743067769109,2829.354248046875,,,native_gaia,Gaia,313.9255017524674,-1.9177571512426903,0.9027003192982261,-0.9372091667628694,-0.04357034898584699,2818.1679153442383,255,178,96,#FFB260,0.14353027728923565,-29.26579172069321,1.6544817216543757,13.76963575108174,NAME Proxima Centauri,Proxima Centauri,M5.5Ve,Main sequence
HIP 71683,219.86852617107107,-60.831824491220175,742.1199951171875,1.3474910259246826,-3678.18994140625,481.8399963378906,,-0.20534655,0.78019476,-0.01,4.147024154663086,,,,transformed_from_johnson,Hipparcos,315.72010121486744,-0.6710639947108461,0.9646534797895873,-0.9407054070418037,-0.015781826247568465,5903.719159906561,255,243,238,#FFF3EE,1.0670481852996043,,,,* alf Cen A,Rigil Kentaurus,G2V,Main sequence
HIP 71681,219.8633404284646,-60.8329161903257,742.1199951171875,1.3474910259246826,-3600.35009765625,952.1099853515625,,1.0710074,0.98700905,1.35,5.423377990722656,,,,transformed_from_johnson,Hipparcos,315.7173480613564,-0.6710410930142039,0.9646082807979918,-0.940751763496988,-0.01578128767885666,5267.893461747603,255,234,217,#FFEAD9,0.8638473510742187,,,,* alf Cen B,Toliman,K1V,Main sequence
Gaia DR3 4472832130942575872,269.44850252543836,4.739420051112412,546.975939730948,1.828233981355542,-801.5509783684709,10362.394206546573,-110.46822357177734,8.1939745,2.8336968,9.587421,11.883815610404724,3099.633544921875,,,native_gaia,Gaia,31.049423583078283,14.086601716079237,1.5191896056708527,0.9146057113859257,0.4449705892584587,3263.104842049735,255,193,125,#FFC17D,0.2231329072716693,-141.26019159935333,4.864314797882988,18.406440067044638,NAME Barnard's star,Barnard Star,M4V,Main sequence
Gaia DR3 3864972938605115520,164.10319030755974,7.002726940984864,415.17941567802137,2.408597252748958,-3866.3382751436793,-2699.214987679166,,11.038391,4.1848364,13.736518,14.129570179980167,,,,native_gaia,Gaia,244.05116130783287,56.09885315615382,-0.5878396190648075,-1.2079862940857153,1.999138419797046,2678.7909030914307,255,174,89,#FFAE59,0.12111289460059499,,,,Wolf  359,,dM6,Main sequence
Gaia DR3 762815470562110464,165.83095967577933,35.948653032660104,392.75294543876464,2.5461298549469777,-580.0570872139048,-4776.588719443488,-85.11064147949219,6.551172,2.2156086,7.4499297,9.521769033144956,3511.044921875,,,native_gaia,Gaia,185.16951881709196,65.433990618616,-1.0542257735236258,-0.09537659853397089,2.3156615817392057,3576.8420707888718,255,203,145,#FFCB91,0.448040787016954,46.363205671133265,-53.74806341926603,-74.68784200313003,HD  95735,,M2+V,Main sequence
HIP 32349,101.28462157128676,-16.721551523397142,379.2099914550781,2.637061357498169,-546.010009765625,-1223.0799560546875,,-1.4876251,-0.05821129,-1.44,1.4067745208740234,,,,transformed_from_johnson,Hipparcos,227.23417729015904,-8.894830349461957,-1.7690401524403137,-1.912676914409035,-0.40774570917517955,10970.188155770302,198,213,255,#C6D5FF,1.8961893320083616,,,,* alf CMa,Sirius,A0mA1Va,Main sequence
Gaia DR3 4075141768785646848,282.4587890175222,-23.83709744872712,336.0266016683708,2.9759548649868903,639.367850335873,-193.95792507116096,-11.116439819335938,9.126414,2.8340364,10.520155,11.758282598169881,3117.3759765625,,,native_gaia,Gaia,11.307631648760257,-10.287478384353651,2.8712747524586524,0.5741350376740626,-0.531467414662132,3262.891436985561,255,193,125,#FFC17D,0.2319202181281083,-12.627429991628171,-1.1261749382015607,-7.190232452380308,CD-23 14742,,M3.5Ve,Main sequence
Gaia DR3 1926461164913660160,355.4800152581559,44.170375700747755,316.48118678226916,3.159745481768476,112.52746493350043,-1591.6497618145506,-77.28982543945312,10.379277,3.5294142,12.414795,12.881016721779119,,,,native_gaia,Gaia,109.98934499518532,-16.94734856028852,-1.0332370135624414,2.8404387874684067,-0.921043038085555,2956.66529973348,255,183,106,#FFB76A,0.16475933112883523,32.30730801116501,-74.16973717053098,0.17422851174048468,Ross  248,,M5.0V,Main sequence
HIP 16537,53.22828469019913,-9.45818223330356,310.75,3.2180209159851074,-976.4400024414062,17.969999313354492,,3.450152,1.0510144,3.72,5.912206649780273,,,,transformed_from_johnson,Hipparcos,195.8412518617266,-48.05500373935676,-2.0692889776373335,-0.5871592317557579,-2.3935216270822073,5157.338723269376,255,233,213,#FFE9D5,0.788169002532959,,,,* eps Eri,Ran,K2V,Main sequence
Gaia DR3 6553614253923452800,346.5039166796005,-35.8471642082214,304.1353692001036,3.2880095551861235,6765.995136250774,1330.2852747179845,8.306987762451172,6.5220323,2.0982852,7.336698,8.937366906094589,3376.08447265625,,,native_gaia,Gaia,5.097235077567257,-65.98769599695464,1.332707666329036,0.11887616607584478,-3.003458934002956,3668.411552615282,255,204,148,#FFCC94,0.4976074156381502,-93.85698453938544,-13.505281152539988,-51.275158875522344,HD 217987,Lacaille 9352,M2V,Main sequence
Gaia DR3 3796072592206250624,176.93768799004127,0.7991199702364985,296.3053079139394,3.374897355164646,607.2990766811824,-1223.0283548879977,,9.601,3.0332584,11.17054,11.959696988930673,3093.39990234375,,,native_gaia,Gaia,270.15692752232786,59.55565822900097,0.004683692513467275,-1.7100578569416907,2.9095725367884806,3160.3969997829863,255,190,119,#FFBE77,0.21782121077485286,,,,Ross  128,,dM4,Main sequence
Gaia DR3 1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,3.4964380683468383,4105.976428209489,3155.9416398273515,-64.59354400634766,5.4506445,1.7153406,6.015665,7.732515292703404,3889.6328125,,,native_gaia,Gaia,82.33988652496814,-5.830395011991391,0.4636512251277641,3.447310863193481,-0.3551823753098021,4042.605303250826,255,213,168,#FFD5A8,0.5867134118455197,-92.44612547185373,-53.993459672494495,-8.86213221518462,*  61 Cyg B,,K7V,Main sequence
Gaia DR3 1872046609345556480,316.7484792940004,38.76386244649797,285.99494829578117,3.4965652573897277,4164.2086922846665,3249.613883848584,-65.9749526977539,4.766713,1.4625897,5.189515,7.048504952329701,4353.74365234375,0.6795274019241333,,native_gaia,Gaia,82.34298021542166,-5.822176498276964,0.4634887298147889,3.4475117554193173,-0.35469633880995294,4392.568051264836,255,220,184,#FFDCB8,0.6451495047670299,-94.40752081936908,-55.08716730484912,-8.41494816345672,*  61 Cyg A,,K5V,Main sequence
HIP 37279,114.82229510425766,5.220395060925165,285.92999267578125,3.49735951423645,-716.5700073242188,-1034.5799560546875,,0.29463246,0.55514,0.4,2.5759315490722656,,,,transformed_from_johnson,Hipparcos,213.70498424824763,13.014485376456557,-2.834738664032245,-1.8908919793541388,0.7875962168999362,6724.299907684326,251,247,255,#FBF7FF,1.3632465655987078,,,,* alf CMi,Procyon A,F5IV-V+DQZ,Subgiant
Gaia DR3 2154880616774131840,280.6830708352289,59.638357907754816,283.8401180184389,3.5231101472943926,-1311.6790825522846,1792.3245558304384,-1.303305983543396,7.854393,2.4610577,8.939672,10.11976189901021,3352.19189453125,,,native_gaia,Gaia,89.29546465688539,24.23815269161439,0.039501844834429284,3.2122943738171097,1.4463435173451489,3465.576934814453,255,199,137,#FFC789,0.39422142908908103,-24.512778623727257,-12.372457241573475,24.97372428902975,HD 173739,,M3V,Main sequence
Gaia DR3 2154880616774131712,280.68308624583415,59.635145454818776,283.8377678450057,3.523139318605643,-1400.263516756894,1862.5251477485458,0.8763075470924377,8.524704,2.625472,9.742437,10.790054893439319,3179.63330078125,,,native_gaia,Gaia,89.29203047927349,24.23743581269056,0.039694934590170976,3.212336693156429,1.4463152976698181,3393.9889853341238,255,197,134,#FFC586,0.32809396172167493,-25.313872119138445,-11.072183814050835,27.421246581219286,HD 173740,,M3.5V,Main sequence
Gaia DR3 385334230892516480,4.613226257557736,44.02478674398518,280.706821579123,3.5624356913539748,2891.5180773367792,411.8320203661465,11.36727523803711,7.218567,2.164384,8.080192,9.459831728244474,3352.20849609375,,,native_gaia,Gaia,116.69059910099008,-18.446863207115847,-1.5179282645460477,3.019298458410997,-1.1272438324346121,3616.822331126143,255,203,145,#FFCB91,0.45339885376392913,-48.956152987331095,-12.429480169800186,-3.292605279577275,HD   1326,,M2V,Main sequence
Gaia DR3 385334196532776576,4.625300681217554,44.02874451664357,280.6947310460246,3.5625891382907127,2862.7964264973784,336.43190371856457,10.60361099243164,9.686646,2.8360271,11.082108,11.927817764076298,3020.286865234375,,,native_gaia,Gaia,116.70022885891379,-18.444108755932326,-1.5185254527659642,3.019221748682185,-1.127129917025263,3261.640080043248,255,193,125,#FFC17D,0.2200527565146591,-47.87949338896524,-13.128272403131467,-4.176311410662941,HD   1326B,,M3.5V,Main sequence
Gaia DR3 703790044252850688,127.45009240230564,26.77328596508202,279.2496391012477,3.5810252189347667,-1113.693546784546,-612.1910728285187,,12.167455,4.3975945,15.0885935,14.397417822099634,,,,native_gaia,Gaia,197.01601086777566,32.41529541411628,-2.8907073638653173,-0.8846612986037364,1.9196163527888512,2625.601387023926,255,172,85,#FFAC55,0.11307746533701099,,,,G  51-15,,M6.5Ve,Main sequence
Gaia DR3 6412595290592307840,330.8724078795965,-56.79725466122902,274.8431415216296,3.638438981826665,3966.6605387484133,-2536.1919868044724,-40.426700592041016,4.322904,1.2974195,4.6632447,6.5183286298804575,4560.30322265625,0.7392322421073914,10.48759937286377,native_gaia,Gaia,336.16562643763456,-48.0554434364373,2.224568275771192,-0.9827461404111232,-2.7062417176622056,4709.057685852051,255,226,196,#FFE2C4,0.6981671370119542,-80.96215753999333,-40.8279462678318,2.6264256841856586,* eps Ind,,K5V,Main sequence
HIP 8102,26.00905418567719,-15.933684011335432,274.1700134277344,3.647372007369995,-1721.8199462890625,854.0700073242188,,3.2878845,0.9223928,3.49,5.477984428405762,,,,transformed_from_johnson,Hipparcos,173.07231820121837,-73.4424923888752,-1.0318305884148093,0.12537106833013972,-3.4961307601666642,5457.142184436321,255,237,224,#FFEDE0,0.8539787177579948,,,,* tau Cet,,G8V,Main sequence
Gaia DR3 4848140361962951552,54.00339387736301,-44.51436231604776,272.16154083178225,3.6742884279086314,745.6543400042402,-373.3232809136534,1.491807222366333,10.995456,3.6653757,13.1646595,13.16958951696462,,,,native_gaia,Gaia,251.87113165447204,-52.90127177577377,-0.6896119722708011,-2.106276147357392,-2.9306025950710826,2879.6204312642417,255,182,103,#FFB667,0.15321641932141516,-0.7586518314905565,-12.589497682856566,7.356440646316596,L  372-58,,M5.5V,Main sequence
Gaia DR3 2358524597030794112,18.13325425370941,-16.996154872479234,269.05730465038937,3.71668036033956,1205.074450317742,637.5466339679103,,10.436525,3.1970692,12.155752,12.58574928097589,,,,native_gaia,Gaia,149.72410115367342,-78.75488036483053,-0.6259237480427493,0.36540719634665636,-3.6453271380533185,3102.1531846788193,255,188,116,#FFBC74,0.17657002876096442,,,,V* YZ Cet,,M4.0Ve,Main sequence
Gaia DR3 3139847906307949696,111.85462844259372,5.209382701706996,264.12689775460655,3.7860589303898693,571.2323467293181,-3691.4865653792745,17.353445053100586,8.576388,2.7577581,9.904765,10.685451511480387,3024.39501953125,,,native_gaia,Gaia,212.36062623425215,10.368420419866517,-3.145846788970743,-1.9933839094253585,0.6814035473575258,3310.8377402169363,255,194,128,#FFC280,0.33960033373715737,16.606322800109215,-65.01667545278796,-17.113327137029444,BD+05  1668,Luyten's star,M3.5V,Main sequence
Gaia DR3 35227046884571776,43.26964247679057,16.86437381897744,260.98844068047276,3.831587320084787,3429.0828268077694,-3805.54112273733,,12.263103,4.5285025,15.322746,14.346208894564047,,,,native_gaia,Gaia,160.2909913829136,-37.03148345088816,-2.8795836190124655,1.031551035454013,-2.307587925476155,2600.0,255,170,81,#FFAA51,0.1146137331630786,,,,NAME Teegarden's Star,Teegarden's Star,dM6,Main sequence
Gaia DR3 4810594479418041856,77.9599373502188,-45.0438126993602,254.19859326384577,3.9339320771222708,6491.223339061598,-5708.614150045243,245.05313110351562,8.063552,2.0266457,8.828564,10.089417616956148,3451.870361328125,,,native_gaia,Gaia,250.56551437639087,-35.975075932017496,-1.0592831728472716,-3.0022287693226857,-2.310922578492268,3724.3253382240855,255,205,150,#FFCD96,0.3969524144739467,20.065493182257466,-287.92378562225946,-52.301336655608814,HD  33793,Kapteyn's,M1VIp,Main sequence
Gaia DR3 6583272171336048640,319.2950181380955,-38.872456400701786,251.9124222107058,3.9696335386096013,-3258.966218702396,-1145.8623969124255,20.70993995666504,5.984104,1.8535872,6.6346893,7.990352075456418,,,,native_gaia,Gaia,3.8964773774223675,-44.242254802512726,2.8372570028733195,0.19324952918574415,-2.769588010872733,3859.3953946741617,255,209,158,#FFD19E,0.5719798814024905,58.58053417049634,-19.60820485873733,28.960221484468587,V* AX Mic,Lacaille 8760,M1V,Main sequence
Gaia DR3 6439125097427143808,281.29804386226,-63.96056736658412,249.6651458904217,4.005364851523573,2583.1897859953274,588.5041381022022,,14.005345,5.11292,,15.992134932471657,,,,native_gaia,Gaia,331.5248427117148,-23.518920832885126,3.22833187379352,-1.751029203150076,-1.5983484088848965,2600.0,255,170,81,#FFAA51,0.09007865067528344,,,,SCR J1845-6357,,M8.5V,Main sequence
HIP 110893,336.99054576824784,57.69378081062554,249.52000427246094,4.007694721221924,-870.22998046875,-471.1000061035156,,8.852005,2.690221,9.59,10.837532043457031,,,,transformed_from_johnson,Hipparcos,104.6828516007614,-0.002710220541788737,-1.0158241031083042,3.876818068225067,-0.00018957306536240343,3353.289612361363,255,196,131,#FFC483,0.32287147521972653,,,,HD 239960,,M3,Main sequence
Gaia DR3 5393446658454453632,162.05388771666577,-39.93962594730691,247.21558692230735,4.045052387065994,-1179.311133843346,-988.1214959595233,,14.005882,5.153656,,15.971261510739595,,,,native_gaia,Gaia,278.6812071485642,17.05947966372249,0.5836828100700046,-3.8227696867247367,1.1866739710617804,2600.0,255,170,81,#FFAA51,0.09028738489260406,,,,DENIS J104814.6-395606,,M8.5Ve:,Main sequence
HIP 30920,97.3505949469801,-2.81672830450565,242.88999938964844,4.117090225219727,694.72998046875,-618.6199951171875,,10.3199215,3.0705998,11.12,12.246969223022461,,,,transformed_from_johnson,Hipparcos,212.9327120124688,-6.185247096198412,-3.4353979549775286,-2.225241886114745,-0.4435891813565016,3147.1200731065537,255,190,119,#FFBE77,0.19771215438842774,,,,Ross  614,,M4.5V,Main sequence
HIP 72511,222.37899943669998,-26.105099979067628,235.24000549316406,4.250977516174316,-1389.699951171875,135.75999450683594,,11.083818,2.1603823,11.72,12.941375732421875,,,,transformed_from_johnson,Hipparcos,333.53957063840664,29.657331917785147,3.307115049369361,-1.6460159317096708,2.103433252045854,3619.945544731326,255,203,145,#FFCB91,0.162344970703125,,,,CD-25 10553A,,M1.5V,Main sequence
Gaia DR3 4330690742322011520,247.57481416249274,-12.66785108081103,232.13898083974135,4.307764238399739,-94.20959499441267,-1183.917157588457,-21.79765510559082,8.801877,2.7315807,10.108082,10.630617388915006,,,,native_gaia,Gaia,3.34687204057749,23.677057606140192,3.9384226982786235,0.23032079996431623,1.7299166778845758,3327.2921098981587,255,196,131,#FFC483,0.34563208721934935,-13.451116855193918,-21.17119396303524,-20.837309297148025,BD-12  4523,,M3V,Main sequence
Gaia DR3 2552928187080872832,12.296740250462333,5.376556608426358,231.7799995322092,4.314436111908938,1231.3994653791733,-2711.8825044849837,,12.299163,0.5975876,12.391644,14.124542652944797,,,,native_gaia,Gaia,121.88941563307718,-57.490634551649464,-1.2249472113834745,1.968770580149,-3.638379542572151,6512.062072753906,255,249,254,#FFF9FE,,,,,Wolf   28,vMA 2,DZ7.5,White dwarf
HIP 439,1.3832918565002266,-37.367744105280245,229.3300018310547,4.360528469085693,5634.06982421875,-2337.93994140625,,7.937058,2.2260337,8.56,9.739360809326172,,,,transformed_from_johnson,Hipparcos,343.45219801014025,-75.91414658199106,1.0172917535845052,-0.3022589723248769,-4.229416689266369,3568.7054145626907,255,201,142,#FFC98E,0.42845752716064456,,,,HD 225213,,M2V,Main sequence
Gaia DR3 1637645127018395776,264.1040525731971,68.3334976375916,219.78977211974913,4.549802251285675,-320.67472432996726,-1269.893286659221,-28.904869079589844,8.02864,2.518117,9.159231,9.738677187079379,3192.275146484375,,,native_gaia,Gaia,98.59591319785802,31.96614691623094,-0.5769155122053155,3.816517210121287,2.4087476834299397,3442.753219604492,255,199,137,#FFC789,0.42851905316285593,30.573315608693235,-25.54443158540609,-6.801233571062764,BD+68   946,,M3.0V,Main sequence
Gaia DR3 5951824121022278144,262.1701639221161,-46.89910489864381,219.64625138839503,4.552775172255158,572.5684618204186,-880.5826187621278,-3.3707590103149414,8.336431,2.4648557,9.424705,10.045049528324228,3274.97509765625,,,native_gaia,Gaia,343.00201814458705,-6.781873705863702,4.323422921880531,-1.3216365185731094,-0.5376364203018146,3464.057731628418,255,199,137,#FFC789,0.40094554245081954,-8.230365953391066,-7.104941374499786,-20.17514902652945,CD-46 11540,,M3V,Main sequence
Gaia DR3 3757613049856225792,162.05518399901217,-11.342803319735205,219.33021263059618,4.559335387524727,579.0186682845314,-1530.0764835880495,1.4739288091659546,12.837447,4.5808744,15.952724,14.542939464707189,,,,native_gaia,Gaia,261.00347461644736,41.285900353976395,-0.5357401386193417,-3.383858239458277,3.0083259622350953,2600.0,255,170,81,#FFAA51,0.10935590802939217,27.53607470590683,-17.974499179430207,-13.080643980786181,LP  731-58,,M6.5V,Main sequence
HIP 114110,346.66283078110496,-14.87182428549655,216.52000427246094,4.618510723114014,112.2699966430664,83.23999786376953,,,,12.24,,,,,transformed_from_johnson,Hipparcos,54.30992275669107,-62.729551603982024,1.2345694158853289,1.7187131821405561,-4.105180221916691,,128,128,128,#808080,,,,,HIP 114110,,,Unknown
Gaia DR3 5332606522595645952,176.45664661730092,-64.843052846102,215.67527344818546,4.636600125791626,2661.639591834039,-344.9325076225359,,11.423104,0.28574753,11.4633465,13.09210607288967,,,,native_gaia,Gaia,296.0287177007026,-2.8543462420273062,2.032115940624315,-4.161160368428429,-0.23088940766534738,8095.0164794921875,225,231,255,#E1E7FF,,,,,LAWD 37,,DQ,White dwarf
Gaia DR3 2603090003484152064,343.3241110018443,-14.266689393516607,214.0379888743159,4.672067819639273,957.7147312894218,-673.6012364809744,-2.0856919288635254,8.875059,2.8092842,10.247467,10.527513436008796,3185.440673828125,,,native_gaia,Gaia,52.0031024364039,-59.635270527588304,1.4539333878724008,1.8611575900313961,-4.031176979494609,3278.449925013951,255,194,128,#FFC280,0.35697352203903243,-12.463213740507218,-19.871799050982638,-11.25247993254585,BD-15  6290,,M3.5V,Main sequence
Gaia DR3 5254061535106490112,161.08527551332452,-61.20263830459439,206.96977507456424,4.83162335968976,-346.2076160477319,1611.0999600775322,155.605224609375,11.859422,3.6814375,14.044566,13.438956368515598,,,,native_gaia,Gaia,288.2286115698207,-2.0129200627991337,1.5104439217829628,-4.586321177091868,-0.1697100751497357,2870.5187543233237,255,180,99,#FFB463,0.1424417452593761,25.8740833972857,-156.2721009255196,23.390242132376592,L  143-23,,M5.5V,Main sequence
Gaia DR3 2441630500517079808,1.6763504259443918,-7.5464753252597605,206.35003920573322,4.846134286424774,-811.5659562556189,-1893.2508466548065,-40.45760726928711,11.773832,3.6749277,13.952513,13.346855099805815,,,,native_gaia,Gaia,92.44470577297474,-67.73050966219365,-0.07833663914076823,1.8348362117994286,-4.484669103612819,2874.2076301574707,255,180,99,#FFB463,0.14612579600776743,38.22222367729593,-41.71297366624328,25.98459772929451,G 158-27,,M5.5V,Main sequence
Gaia DR3 4752399493622045696,43.77198593477078,-47.01672835622661,205.42508538452748,4.8679546518290975,1012.4447203711677,-554.03083867335,,18.57293,4.87331,22.00048,20.136196763120893,,,,native_gaia,Gaia,260.5895222719232,-58.667621416506854,-0.4138911492567912,-2.497279494698628,-4.158037004908591,2600.0,255,170,81,#FFAA51,,,,,DENIS J025503.3-470049,DENIS 0255-4700,L9,Brown dwarf
Gaia DR3 823773494718931968,152.8329289582321,49.451988897100506,205.31478196510724,4.870569914298463,-1363.2871863986295,-505.77035887491877,-26.481712341308594,5.9611735,1.7223029,6.530375,7.523274625493055,3978.864013671875,,,native_gaia,Gaia,165.87307438481994,52.140760599968296,-2.898783486934503,0.7295724603063438,3.8454167018813097,4032.965196462778,255,213,168,#FFD5A8,0.5986700214003968,-8.920036352646898,-20.696177035315728,-36.33908507851339,HD  88230,,K6VeFe-1,Main sequence
Gaia DR3 778947814402602752,166.34205974427476,43.53094856108456,203.8875927696954,4.90466333147386,-4406.469178827325,938.5266266886065,68.4132080078125,7.912665,2.104178,8.731473,9.459618881965579,3382.19677734375,,,native_gaia,Gaia,168.51542437106258,63.05225627905504,-2.178182097822954,0.4425455380490684,4.372116031234843,3663.8123302924923,255,204,148,#FFCC94,0.4534168638336818,-124.0215222042997,-5.5467118162243105,15.520394558285092,BD+44  2051,,M1.0V,Main sequence
Gaia DR3 778947608243864320,166.35208967877313,43.52590762036144,203.83234385738783,4.905992744211656,-4339.849578444107,960.6961306272715,67.93590545654297,12.257253,3.8549728,14.616463,13.803618185352331,,,,native_gaia,Gaia,168.51746136470499,63.06105637133103,-2.178129952301014,0.442454310184499,4.373642520890997,2798.0108642578125,255,178,96,#FFB260,0.13089145443943007,-122.62341361540878,-4.630920978912214,15.605367794318543,BD+44  2051B,PM I11055+4331,M6.0V,Main sequence
Gaia DR3 625453654702751872,154.89881370110675,19.869809905451323,201.40642101948626,4.965085000459092,-498.6203603111094,-43.42766908201863,10.672628402709961,8.204091,2.564643,9.372149,9.724457632785182,3187.361572265625,,,native_gaia,Gaia,216.45508186999908,54.57786779256827,-2.3146350126294037,-1.70993326515646,4.046067479517032,3424.142837524414,255,197,134,#FFC586,0.42979881304933365,-14.177490460474141,-6.882142688712976,2.077767291403633,V* AD Leo,,dM3,Main sequence
Gaia DR3 6562924609150908416,323.3912518776402,-49.01263039681064,201.3251983325545,4.967088115558056,-45.91675295376507,-816.8749628777432,12.723587989807129,7.739947,2.2399096,8.656543,9.259437520211051,3310.124267578125,,,native_gaia,Gaia,349.16798013195233,-46.348690329720526,3.3675310160650582,-0.6443415408179187,-3.593956480306113,3557.8753959841843,255,201,142,#FFC98E,0.4703552867513726,8.600482941194546,-20.61711460282549,-5.829877562020008,HD 204961,,M1.5V,Main sequence
Gaia DR3 5955305209191546112,264.26088738973226,-44.323382243038424,199.6944012807481,5.007651659668271,-705.9450540795624,-938.0799698989338,-34.901893615722656,9.602153,2.9048986,11.057602,11.103982269262083,3155.8037109375,,,native_gaia,Gaia,345.98043362967,-6.634271039819495,4.825955785784714,-1.204996569518493,-0.5785405479982363,3218.3494240897044,255,191,122,#FFBF7A,0.29356195038117083,-40.08349433842867,-18.60392816995472,6.487053864555781,CD-44 11909,,M3.5V,Main sequence
Gaia DR3 3195919254111315712,63.830787524383176,-7.672952135407352,199.6910732720413,5.007735116119533,-2236.168749069785,-3338.9552892508973,,9.54224,-0.1910038,9.579965,11.044033398689425,,,,native_gaia,Gaia,200.782860959674,-38.04630907026342,-3.6870495930466287,-1.399316832955906,-3.086258040514055,13183.396657307943,187,205,255,#BBCDFF,,,,,* omi02 Eri B,,DA2.9,White dwarf
HIP 19849,63.807958317212616,-7.668069231090335,198.24000549316406,5.044390678405762,-2239.330078125,-3419.860107421875,,4.18835,0.99771845,4.43,5.674306869506836,,,,transformed_from_johnson,Hipparcos,200.76365735356777,-38.063832691021815,-3.713621000779698,-1.4079774905880618,-3.1100636271549633,5249.39539866014,255,234,217,#FFEAD9,0.8238539695739746,,,,* omi02 Eri,Keid,K0V,Main sequence
Gaia DR3 1934263333784036736,341.7028254522359,44.3319533233193,197.95730094675557,5.0515944358575045,-706.2158109750716,-458.9196274161519,-0.23150427639484406,9.005235,2.7301593,10.31024,10.48809233723108,,,,native_gaia,Gaia,100.602888366223,-13.069678278606805,-0.9054200099993841,4.836720518580483,-1.1423465214293613,3328.1855937412806,255,196,131,#FFC483,0.3610716896492028,19.86650943962004,3.1007023756283516,-1.5939459915096408,V* EV Lac,,M4.0Ve,Main sequence
HIP 88601,271.3642439653144,2.4958211296222546,196.6199951171875,5.0859527587890625,124.55999755859375,-962.6599731445312,,3.7700603,1.0722173,4.03,5.238199234008789,,,,transformed_from_johnson,Hipparcos,29.889819340193377,11.364550525303116,4.3229915456091526,2.484808373165183,1.0021910545769497,5120.715494589372,255,232,212,#FFE8D4,0.8973133914441948,,,,*  70 Oph,,K0-V,Main sequence
HIP 97649,297.69824383202,8.870035424065025,194.44000244140625,5.142974853515625,536.8200073242188,385.5400085449219,,0.69581753,0.2979471,0.76,2.13974666595459,,,,transformed_from_johnson,Hipparcos,47.74682481681936,-8.91042464327527,3.416442237974345,3.7607908025660053,-0.7965960819724464,8013.685941696167,227,232,255,#E3E8FF,1.4838925004005432,,,,* alf Aql,Altair,A7Vn,Main sequence
Gaia DR3 1695191332232990720,226.70263614661923,70.46161913358111,193.9412326077981,5.156201115944601,-1194.1792240272916,1042.1942136101118,,20.199528,3.4400425,22.148457,21.637878497845993,,,,native_gaia,Gaia,108.27371729779348,42.605112227615294,-1.1899964833955279,3.6037613948143,3.490447267445924,3007.309252421061,255,185,109,#FFB96D,,,,,2MASS J15065257+7027247,,T6,Brown dwarf
Gaia DR3 3316364602541746048,90.01597644159976,2.7063740799024933,192.01346218785218,5.207968173719361,309.14624371351175,-40.36843064589449,29.956832885742188,9.901327,2.8903284,11.344011,11.317985525366794,3138.287109375,,,native_gaia,Gaia,204.5631306704951,-10.141704417676973,-4.662657687879167,-2.1311031298735723,-0.9170361137807724,3227.507858276367,255,193,125,#FFC17D,0.27002159220965266,-25.958896993678987,-16.793150526040943,0.8845388053536861,G  99-49,,M3.5Ve,Main sequence
HIP 1242,3.870491964283974,-16.136551633585693,191.86000061035156,5.212133884429932,728.1799926757812,-617.47998046875,,10.639995,3.0426116,11.49,12.054916381835938,,,,transformed_from_johnson,Hipparcos,83.92329058849106,-76.20497002890423,0.13156573821699993,1.2358458594274366,-5.06178971288675,3157.0714314778647,255,190,119,#FFBE77,0.21115585327148437,,,,G 158-50,,M4V,Main sequence
Gaia DR3 5278042880077383040,124.37351805519963,-61.91613022264878,191.83624032785028,5.21277939085435,-156.45124641826038,1099.3657696844996,,20.009703,3.511303,22.027588,21.42435595442817,,,,native_gaia,Gaia,276.04926110771373,-14.397406657837431,0.5320884791512654,-5.020954066589075,-1.296136987078517,2966.9283294677734,255,183,106,#FFB76A,,,,,2MASS J08173001-6155158,,T6,Brown dwarf
Gaia DR3 1129149723913123456,176.9394079814786,78.69329745305299,190.32514271529305,5.254166557993327,748.4182886031707,480.80430000482306,-111.50458526611328,9.551337,2.701994,10.832645,10.948818062732236,3056.1953125,,,native_gaia,Gaia,126.84235990343792,37.9470663393127,-2.4844025028810552,3.3158556425243186,3.230961432879296,3345.8895220075337,255,196,131,#FFC483,0.310630013099454,67.8055877282704,-54.75418281940076,-72.99694841698991,G 254-29,,M4.0V,Main sequence
Gaia DR3 5985290231327158144,235.1951774625917,-51.028101306904475,187.7289806878707,5.326828049328511,1949.461491458244,-324.78911433214125,85.67181396484375,12.7359295,4.2261887,15.477167,14.10358609947954,,,,native_gaia,Gaia,328.03952517035674,3.397671106662547,4.511408648144557,-2.8147155090852407,0.3156987163016422,2668.452835083008,255,172,85,#FFAC55,0.12189241701561383,92.60417832024551,-17.182072620128203,-30.975468193709492,UCAC4 195-119117,,M7.0V,Main sequence
