star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class
Gaia DR3 3339921875389105152,84.12911430605554,11.327618308646477,87.529739914385,11.424688351389193,-2.8178152057177774,-56.349704397707356,21.355039596557617,8.195061,1.8158841,8.821784,7.905838920020695,,,,native_gaia,Gaia,194.00690019178853,-10.991158390798118,-10.881657059564489,-2.7144938195126462,-2.1782026692265997,3903.391227722168,255,210,161,#FFD2A1,0.576809204570246,-19.41107752894502,-7.462172448162431,-5.735904413986511,V* V2689 Ori,,K6V,Main sequence
HIP 63510,195.1912761350711,12.375649506473142,87.5,11.428571701049805,-618.7899780273438,-16.6299991607666,,9.1472645,2.1603823,9.76,8.857303619384766,,,,transformed_from_johnson,Hipparcos,311.8148101519637,75.08629751155557,1.9610398381010554,-2.192163043628075,11.043595205799981,3619.945544731326,255,203,145,#FFCB91,0.5043820014366737,,,,BD+13  2618,,M0V,Main sequence
Gaia DR3 6380214844952702848,354.90793158181526,-72.72542944515125,87.37235542781944,11.445267729174656,143.73557391566453,-736.9071344649008,69.62261199951172,6.753961,1.2340403,7.0649576,6.460831305264399,,,,native_gaia,Gaia,310.16608644658714,-43.37990088059988,5.36554243377269,-6.356890444842721,-7.860982868327518,4833.281089782715,255,228,202,#FFE4CA,0.7058753042103401,30.687940823304785,-70.94852149430294,-23.048009430658812,HD 222237,,K3+V,Main sequence
Gaia DR3 3339914973377653760,84.16024229906046,11.296613294698856,87.34527041122139,11.448816808191236,-3.323155056201282,-60.83845263810206,21.635826110839844,11.196607,2.8138971,12.572982,10.90280360451284,,,,native_gaia,Gaia,194.0499564197663,-10.980840078481853,-10.902972562978249,-2.728515874508649,-2.1807789252970955,3275.5503736223495,255,194,128,#FFC280,0.31569160350358755,-19.59712029277473,-7.731857395169539,-5.934232479552464,PM J05366+1117,,M4.0Ve,Main sequence
Gaia DR3 1214160733157163008,230.47094024402693,20.97832225750799,87.3251282499995,11.451457559124808,81.50276714893707,128.0781918555097,5.306448936462402,9.124214,2.2203941,10.026474,8.829910333045753,,,,native_gaia,Gaia,31.058032870760353,55.23895361863947,5.593128702051585,3.3684058390733314,9.40779642923996,3573.1070169588415,255,201,142,#FFC98E,0.5066998948961287,-0.04076860764667932,9.277801050352736,3.161547961531264,V* OT Ser,,M1.0V,Main sequence
Gaia DR3 1099288637370627072,104.49025985938317,62.319580264093716,87.24166697188599,11.462412797800555,320.63634879355135,-475.01573789758305,,13.639243,,,13.342862902297476,,,,native_gaia,Gaia,153.6304393444705,24.554799737499366,-9.340973705754335,4.630715839886269,4.763358918432927,,128,128,128,#808080,,,,,G 250-31B,,M5V,Main sequence
Gaia DR3 6743125631414820224,288.16782061103294,-36.25773830304885,87.08411564393202,11.483150429967989,773.1232232131329,-1955.8443586353374,-62.93235778808594,12.492158,2.9515953,13.988773,12.191852665365204,,,,native_gaia,Gaia,1.4154936357157462,-19.637711685505113,10.81194940201829,0.2671638303447585,-3.859160195330833,3189.4327799479165,255,191,122,#FFBF7A,0.20157031342443574,-82.55010060430362,-87.98692474428658,-50.10745693868628,UCAC2  16493854,,,Main sequence
Gaia DR3 3059182338820698624,108.29665561709618,-5.198202455814469,87.00701510121183,11.493326128206322,-22.609664794051415,-306.86627810419674,-9.206958770751953,10.169039,2.3263788,11.150247,9.866810121706177,3432.348388671875,,,native_gaia,Gaia,220.04197710289608,2.445588547800061,-8.790969525220953,-7.387481396982207,0.49042726799027375,3519.448471069336,255,200,140,#FFC88C,0.4169870890464441,15.926384702764123,-5.239113378439163,-9.204361475770483,RX J0713.1-0511,,,Main sequence
Gaia DR3 392350008432819328,3.9121438389884853,47.58934198184821,86.99250931647948,11.495242611774671,-78.673398826095,-21.616236472215483,4.439413547515869,9.992615,2.472147,11.086645,9.690024037774485,3215.30322265625,,,native_gaia,Gaia,116.70207616167292,-14.84902416676156,-4.992901632960496,9.926383811876065,-2.9459192803716405,3461.1412048339844,255,199,137,#FFC789,0.43289783660029635,2.0764700376084777,5.689552204342675,-1.671148140091289,PM J00156+4735,,,Main sequence
Gaia DR3 5159273530961537280,44.543868419797654,-12.882602840627078,86.95743346181864,11.499879425938682,274.154354631563,539.5078911804316,101.37726593017578,11.579974,2.476037,12.67708,11.276507740089716,3154.64306640625,,,native_gaia,Gaia,193.5799670094572,-57.133737902996074,-6.066282278922337,-1.4653431623584159,-9.65920367008016,3459.585189819336,255,199,137,#FFC789,0.2745841485901312,-80.3517482300434,-1.156257117257726,-70.05708317295299,L  802-6,,sdM3.0,Subdwarf
Gaia DR3 386655019234959872,1.3009212651019344,45.785894350455116,86.92985294608008,11.503528029896351,870.7325008268119,-151.3924962859703,-0.7924477458000183,9.08505,2.128295,9.9209,8.780894353993244,3633.866943359375,,,native_gaia,Gaia,114.55979625876195,-16.33293049935443,-4.588400025564484,10.040542817048248,-3.235002670637495,3644.9893114043443,255,204,148,#FFCC94,0.5108474008159563,-38.74388412914743,-23.77788508812564,-16.02919528077966,BD+44  4548,,M2Ve,Main sequence
Gaia DR3 2669873515120908544,326.82387294144644,-4.744613685896646,86.87323337500877,11.511025446506228,256.9941091415699,5.376009042216386,-31.794612884521484,12.605769,3.1882763,14.316851,12.300199087513533,,,,native_gaia,Gaia,51.56418197907406,-40.80139426535615,5.416705131599398,6.825411378945328,-7.521753243465401,3105.279541015625,255,188,116,#FFBC74,0.19398606387405265,-25.765637134706054,-20.047647724187332,11.910826278318545,PM J21472-0444,,M4.0V,Main sequence
HIP 11964,38.59438202794997,-43.7976574305342,86.87000274658203,11.511453628540039,57.88999938964844,-293.6499938964844,,8.318699,1.9807508,8.89,8.01304817199707,,,,transformed_from_johnson,Hipparcos,258.4830150795544,-63.4134770487294,-1.0286275318334632,-5.048205363571973,-10.294227151660536,3760.145717713891,255,206,153,#FFCE99,0.5706829616001674,,,,V* CC Eri,,K7V,Main sequence
