star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class,spurious_parallax
Gaia DR3 2449476684211187328,359.89666851501124,-1.8497881439431194,11.541923880440706,86.64066843263716,149.57323700861468,29.704911820184876,-3.245108127593994,7.427109,0.4305787,7.4868507,2.738499793590858,7074.7939453125,1.4969605207443237,1.2202012538909912,native_gaia,Gaia,94.57530642945292,-61.832865616711615,-3.262430274960178,40.76797959932586,-76.38019255372522,7347.106456756592,237,238,255,#EDEEFF,1.3257308168636481,-59.461951021417455,-19.495520546398502,-4.184909289899713,V* BT Psc,,F2-F3IV,Subgiant,False
Gaia DR3 3291153655612739072,75.23911693828161,9.21569826459958,11.541724469810001,86.64216535542214,154.69963064536162,42.025738112532544,8.663036346435547,8.790213,0.7430477,8.919859,4.1015661431623585,5880.34423828125,1.0515880584716797,7.042285919189453,native_gaia,Gaia,191.05360606814168,-19.527294059504985,-80.14379972477964,-15.656206598812323,-28.960652238615555,6026.642109264027,255,244,242,#FFF4F2,1.0728761354920053,-24.651731421318047,-25.557427527749212,56.11861053435917,HD  32071,,G5,Main sequence,False
Gaia DR3 6281912659977998464,220.23968369070525,-18.798044482785556,11.541510417240575,86.64377224892606,-16.052371337482164,13.500103605120655,1.7866750955581665,9.019655,0.73041534,9.1457615,4.3309684671446735,5931.34326171875,1.0462497472763062,4.856568813323975,native_gaia,Gaia,335.94406945168856,36.95586542020847,63.22357039023757,-28.22293048845451,52.09020648143285,6068.443769975142,255,244,242,#FFF4F2,1.0434655811352982,-4.315238624157541,-1.1647222560285537,7.578337932638528,HD 129049,,G6/K0(IV)+F0,Subgiant,False
Gaia DR3 5061694584120163584,50.99492587003576,-26.216566712909067,11.541492113201572,86.64390966018719,-35.2664329509619,12.839530602213667,5.686071872711182,8.40984,0.61168957,8.505575,3.7211494258023823,6436.8076171875,1.247096061706543,1.118236780166626,native_gaia,Gaia,220.2762985983542,-56.04226288026214,-36.9243097702067,-31.287841263041344,-71.86677548280029,6461.318158236417,255,248,253,#FFF8FD,1.1216475095125151,0.9712269738564151,11.017177032407892,-12.150664386857917,HD  21146,,F5/6V,Main sequence,False
HIP 15568,50.145321563940264,-65.78556472419744,11.539999961853027,86.65511322021484,36.2400016784668,73.08000183105469,,7.170257,0.40444514,7.25,2.48128604888916,,,,transformed_from_johnson,Hipparcos,282.38454524002464,-44.93402746352786,13.156762440022632,-59.91744479641161,-61.203823886862104,7477.774292230606,235,237,255,#EBEDFF,1.3850878348717321,,,,HD  21115,,A9IV/V,Subgiant,False
HIP 69227,212.607498784527,39.526095323887795,11.539999961853027,86.65511322021484,-1.659999966621399,-44.86000061035156,,7.6490736,1.0722173,7.97,2.960102081298828,,,,transformed_from_johnson,Hipparcos,75.01908001242596,69.44032929325161,7.866533931175427,29.39745929685715,81.13578543409527,5120.715494589372,255,232,212,#FFE8D4,1.274591827392578,,,,HD 124085,,K0,Main sequence,False
HIP 64502,198.30770950853955,46.493910977242116,11.539999961853027,86.65511322021484,-173.11000061035156,-10.630000114440918,,8.272836,0.7023223,8.41,3.583864212036133,,,,transformed_from_johnson,Hipparcos,111.82706351287833,70.16162067574744,-10.934074122909797,27.299731156048814,81.5124490436303,6161.406193213029,255,245,245,#FFF5F5,1.1392481779440855,,,,HD 114957,,G5,Main sequence,False
HIP 7050,22.717987094005615,66.09803778387985,11.539999961853027,86.65511322021484,74.83000183105469,-11.180000305175781,,6.1002274,0.06692979,6.15,1.4112567901611328,,,,transformed_from_johnson,Hipparcos,126.91742258338819,3.531908205019237,-51.95168961019977,69.14935115324874,5.338335783595005,9553.801417350769,209,220,255,#D1DCFF,1.8936680555343626,,,,HD   9030,,A2Vs,Main sequence,False
Gaia DR3 6605242028564099584,348.2909433395018,-30.449864260540032,11.53988542358905,86.65597302689574,8.620388251727025,-13.33660389896248,1.2271637916564941,9.449395,0.79861546,9.595306,4.760402663990053,5722.03125,0.9889528751373291,4.4110236167907715,native_gaia,Gaia,18.307341662913807,-68.25751151109564,30.475705788332036,10.083208386869375,-80.49110464248875,5842.7634013782845,255,242,236,#FFF2EC,0.9836621691584241,-0.6943344421329777,-6.166439783517943,-2.3565200501508112,HD 219057,,G3V,Main sequence,False
Gaia DR3 2063289923801832576,310.36661007196835,37.80933512415723,11.539549939571396,86.65849233606612,-4.145010496134599,-34.54321663820336,6.781208515167236,8.559512,0.67125416,8.669826,3.87045649330919,6159.4267578125,1.1467264890670776,3.5188143253326416,native_gaia,Gaia,78.38770665078378,-2.591626781218563,17.425481486323612,84.79795246048845,-3.9184368616280283,6264.213513461026,255,246,248,#FFF6F8,1.102505577780873,13.30245527346018,3.8428978120715613,-7.650436419062933,HD 197273,,K0,Main sequence,False
Gaia DR3 6858437424473726976,312.05718925646875,-19.260406595143902,11.539429183065364,86.65939919000026,37.574724547051105,-24.740650853866406,,6.7252626,0.52760696,6.8027115,2.0361842731906385,6656.70556640625,1.6640673875808716,1.633009433746338,native_gaia,Gaia,27.140452640539205,-34.074458972891144,63.87713953757639,32.744513467540294,-48.55264514156652,6861.965179443359,247,245,255,#F7F5FF,1.5421463463302658,,,,HD 198031,,F5III+,Giant,False
Gaia DR3 2537698507927245440,14.179624018827198,1.8750696306026975,11.53911554933918,86.66175459671759,23.337465319645673,-33.46159947240122,19.610734939575195,9.101223,0.7471771,9.2320385,4.412085603302819,5882.03271484375,1.0280386209487915,5.213866710662842,native_gaia,Gaia,125.6515960442992,-60.96879001013167,-24.51239238269201,34.173488869762664,-75.77318119180988,6012.977516867898,255,244,241,#FFF4F1,1.0330659482945104,-7.009569742297928,-7.658662655607442,-23.615249745509775,HD   5495,,G2V,Main sequence,False
Gaia DR3 4493800921481091968,262.46511617112395,11.902822109690765,11.538664161086107,86.66514477234533,4.980943982275727,-102.56718581881601,-8.43033218383789,8.37472,0.6963773,8.491581,3.6854972855784176,6055.32421875,1.1617696285247803,4.710531234741211,native_gaia,Gaia,34.68540200028382,23.423369464532406,65.39113306182658,45.25432286046029,34.45131779400153,6181.078827597878,255,246,246,#FFF6F6,1.1262182967207157,21.299737991657032,-30.81039490369698,-21.163962618652867,HD 158612,,F5,Main sequence,False
Gaia DR3 2538135357640918784,15.807463038058183,1.0481480580562057,11.538118986069312,86.66923969213371,-42.159623288657535,-20.18178599171063,4.032793045043945,9.494259,0.8478594,9.655521,4.80493394700323,5779.35595703125,1.0181605815887451,2.7818498611450195,native_gaia,Gaia,129.15477337671186,-61.68104141029513,-25.960166158315662,31.881656704941133,-76.29670273080909,5686.332398414612,255,240,232,#FFF0E8,0.9756143469271271,17.057204570816424,5.089580879923252,-8.258059378289353,BD+00   170,,G0,Main sequence,False
Gaia DR3 5471883447157001856,154.82423820480207,-27.059074181516344,11.53810866933229,86.66931718696232,-0.37803503072634825,-130.09503043100347,38.307838439941406,9.394146,0.8433056,9.553952,4.704819090354807,5682.728515625,0.9495096802711487,8.592795372009277,native_gaia,Gaia,265.80092178000757,24.634039698358816,-5.768545439448011,-78.56994776080778,36.125582819260416,5700.335317611694,255,240,232,#FFF0E8,0.9937073933093723,28.180899223213203,-54.83955558105116,-22.866455142611144,CD-26  7833,,,Main sequence,False
Gaia DR3 6531813962001626752,355.52599813639813,-44.240997795402016,11.53796527701882,86.67039430182615,-8.743193927283146,-19.841788786702175,5.291702747344971,9.771777,0.89215183,9.947591,5.082423291188238,5574.25048828125,0.9543202519416809,4.073597431182861,native_gaia,Gaia,337.55914938940407,-67.93713432059823,30.090162126766728,-12.427375486964234,-80.32371835345343,5550.133114814758,255,238,227,#FFEEE3,0.9254656702671858,7.729945684974548,-6.665851520976683,-1.7827810750344233,CD-44 15326,,,Main sequence,False
Gaia DR3 1371903199628510464,239.20192893869788,35.50466316859336,11.537935683984974,86.6706165980828,-187.68810547507405,75.87989167026161,-10.161386489868164,9.146367,0.8139467,9.296964,4.457007641745937,5664.27734375,0.9384979009628296,11.53699016571045,native_gaia,Gaia,56.80167101227512,49.90566334212674,30.563638195099486,46.70910792874194,66.30172726462003,5792.030840787021,255,241,235,#FFF1EB,1.0273067125966746,-60.806929325389184,-39.148373138860464,42.32729759912466,HD 143062A,,K0,Main sequence,False
Gaia DR3 1208240653315616384,230.0967923711943,16.555779259646165,11.53697178032178,86.67785785050337,-82.32039681878672,44.96474851998584,-16.267398834228516,8.271539,0.67206573,8.38206,3.581997886125702,6133.6875,1.1922043561935425,4.151508331298828,native_gaia,Gaia,23.69057336911176,54.00896321511306,46.64446964459927,20.46633831722016,70.13182935736963,6261.5279319069605,255,246,248,#FFF6F8,1.1394874504967047,-38.56383739881484,-13.213270767359598,9.39935169265801,HD 136477,,G5,Main sequence,False
