star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class,spurious_parallax
Gaia DR3 823773494718931968,152.8329289582321,49.451988897100506,205.31478196510724,4.870569914298463,-1363.2871863986295,-505.77035887491877,-26.481712341308594,5.9611735,1.7223029,6.530375,7.523274625493055,3978.864013671875,,,native_gaia,Gaia,165.87307438481994,52.140760599968296,-2.898783486934503,0.7295724603063438,3.8454167018813097,4032.965196462778,255,213,168,#FFD5A8,0.5986700214003968,-8.920036352646898,-20.696177035315728,-36.33908507851339,HD  88230,,K6VeFe-1,Main sequence,False
HIP 19849,63.807958317212616,-7.668069231090335,198.24000549316406,5.044390678405762,-2239.330078125,-3419.860107421875,,4.18835,0.99771845,4.43,5.674306869506836,,,,transformed_from_johnson,Hipparcos,200.76365735356777,-38.063832691021815,-3.713621000779698,-1.4079774905880618,-3.1100636271549633,5249.39539866014,255,234,217,#FFEAD9,0.8238539695739746,,,,* omi02 Eri,Keid,K0V,Main sequence,False
HIP 88601,271.3642439653144,2.4958211296222546,196.6199951171875,5.0859527587890625,124.55999755859375,-962.6599731445312,,3.7700603,1.0722173,4.03,5.238199234008789,,,,transformed_from_johnson,Hipparcos,29.889819340193377,11.364550525303116,4.3229915456091526,2.484808373165183,1.0021910545769497,5120.715494589372,255,232,212,#FFE8D4,0.8973133914441948,,,,*  70 Oph,,K0-V,Main sequence,False
HIP 97649,297.69824383202,8.870035424065025,194.44000244140625,5.142974853515625,536.8200073242188,385.5400085449219,,0.69581753,0.2979471,0.76,2.13974666595459,,,,transformed_from_johnson,Hipparcos,47.74682481681936,-8.91042464327527,3.416442237974345,3.7607908025660053,-0.7965960819724464,8013.685941696167,227,232,255,#E3E8FF,1.4838925004005432,,,,* alf Aql,Altair,A7Vn,Main sequence,False
Gaia DR3 3209938366665770752,82.86754111476276,-3.6865276019053095,175.31313655111924,5.704079110514413,761.6309015978574,-2092.208719837279,8.195141792297363,7.1082892,2.121859,7.939578,8.327361540967924,,,,native_gaia,Gaia,206.94508321490216,-19.44885155336645,-4.7947052812070465,-2.437238466435275,-1.899259967224175,3650.012430330602,255,204,148,#FFCC94,0.549223254225791,22.492199786087696,-55.525739944342355,-10.140653342986862,HD  36395,,M1.5Ve,Main sequence,False
Gaia DR3 2940856402123426176,92.64357908167638,-21.86782311323394,173.57398583239672,5.761231991098029,-135.6916079479044,-719.1781339548138,4.226544380187988,7.3134713,2.0742784,8.111353,8.510894499373201,,,,native_gaia,Gaia,228.61514751305023,-18.440965111491323,-3.6132454261807165,-4.100607355451608,-1.822435420488654,3687.1486012528585,255,205,150,#FFCD96,0.5336935423607292,12.180795522214984,-11.45372259382702,-11.739832888857277,HD  42581,,M1V,Main sequence,False
HIP 96100,293.0976093893519,69.65344725050629,173.41000366210938,5.766679763793945,598.4299926757812,-1738.81005859375,,4.4432917,0.9547787,4.67,5.638663291931152,,,,transformed_from_johnson,Hipparcos,101.29641256182505,21.87189027640579,-1.048294676699244,5.2479124168313716,2.1482758282449974,5357.555585861206,255,236,220,#FFECDC,0.8292005062103271,,,,* sig Dra,Alsafi,K0V,Main sequence,False
Gaia DR3 6232511606838403968,224.37159427348143,-21.423140396261676,169.8842702825854,5.886360157633197,1031.4718694823848,-1723.6189029383202,26.75117301940918,5.3640366,1.3236036,5.716877,6.514802405383094,4503.0302734375,,,native_gaia,Gaia,338.24176979965,32.6679284185543,4.6021870468149695,-1.8368527983740033,3.1772758911692915,4657.736885070801,255,225,194,#FFE1C2,0.6985197594616905,48.0243882386356,-21.955094080724553,-32.694187728901944,HD 131977,,K4V,Main sequence,False
Gaia DR3 425040000962497792,12.281184764215306,57.815739188554126,168.71856118825883,5.927030155764452,1144.6933944408322,-469.66761852950583,10.332795143127441,6.762044,1.7540107,7.3504605,7.897858268620617,,,,native_gaia,Gaia,122.62270221704523,-5.0546195524458835,-3.182862937855413,4.972562100340149,-0.5222031639394407,3989.062139070951,255,212,165,#FFD4A5,0.5772652417931076,-31.89530309588282,-9.605889171911798,-14.343633368501225,* eta Cas B,,K7Ve,Main sequence,False
Gaia DR3 4109030160308317312,258.83511696459266,-26.60789783205067,168.13027793748972,5.947768672408884,-465.86077428732233,-1141.1676949906755,,4.828591,1.0597496,5.065702,5.956820524461982,4997.0126953125,0.8145808577537537,6.304092884063721,native_gaia,Gaia,358.2735138770175,6.876819230705276,5.902298998492977,-0.17790704187909687,0.7121571437029586,5142.250685258345,255,233,213,#FFE9D5,0.7814769213307027,,,,*  36 Oph B,,K1V,Main sequence,False
Gaia DR3 4109030160308320128,258.83412017812816,-26.606806615399403,168.00307885629599,5.952271867918357,-498.6001998992269,-1149.1581425021811,0.26360851526260376,4.831335,1.0583043,5.067876,5.957921271558325,4991.23583984375,0.8094933032989502,7.213899612426758,native_gaia,Gaia,358.27389845016586,6.878175422965144,5.906752099201711,-0.17800158466740143,0.7128362112325428,5144.7471011768685,255,233,213,#FFE9D5,0.7813118092662512,0.06808502844449003,-34.643915362528,-7.013902478545237,*  36 Oph A,,K2V,Main sequence,False
HIP 3821,12.285282814596457,57.81269941141954,167.99000549316406,5.95273494720459,1087.1099853515625,-559.6500244140625,,3.309333,0.7469358,3.46,4.4357500076293945,,,,transformed_from_johnson,Hipparcos,122.62486612761107,-5.057678821769988,-3.1968401283504684,4.993983157215473,-0.5247844994730427,6013.776130242781,255,244,241,#FFF4F1,1.0300320503039238,,,,* eta Cas,Achird,F9V,Main sequence,False
Gaia DR3 4109034455276324608,259.05329410009625,-26.551146094884785,167.9616795430231,5.953738988087766,-479.57323273959537,-1124.3316833654421,-0.06787675619125366,5.889863,1.4148359,6.2879486,7.015914057929606,4381.2255859375,0.6819101572036743,,native_gaia,Gaia,358.43299674981483,6.749479855500631,5.910265650113283,-0.1616823331931713,0.6997333109839498,4478.921577453613,255,222,188,#FFDEBC,0.6484085942070393,-0.16053682652876633,-33.775402380861124,-7.025806807556863,V* V2215 Oph,,K5V,Main sequence,False
Gaia DR3 6697578465310949376,302.8022690433109,-36.10821653736984,166.3272042796776,6.01224558742964,458.88173849748836,-1576.7321098687532,-129.27386474609375,5.033037,1.101397,5.28688,6.137853624258991,,,,native_gaia,Gaia,5.225736109660614,-30.928199029307233,5.135940554915132,0.46973336917170744,-3.0900747857991746,5070.314207944003,255,231,210,#FFE7D2,0.7543219563611513,-118.31274096737718,-51.93053933799919,46.98446518292446,HD 191408,,K2.5V,Main sequence,False
HIP 15510,50.00035962965094,-43.066552247555556,165.02000427246094,6.059871196746826,3038.080078125,726.3400268554688,,4.0642595,0.889849,4.26,5.151943206787109,,,,transformed_from_johnson,Hipparcos,250.73404117395282,-56.064747486631546,-1.1162190027675605,-3.1935023061952914,-5.027687050657366,5557.214303076267,255,238,227,#FFEEE3,0.9129018300987152,,,,* e Eri,,G6V,Main sequence,False
HIP 99240,302.1950252833894,-66.18709056715038,163.72999572753906,6.107616424560547,1210.2900390625,-1130.3399658203125,,3.3380861,0.8571446,3.55,4.408727645874023,,,,transformed_from_johnson,Hipparcos,329.7607876046614,-32.42130809914484,4.454091072335039,-2.5964254365637416,-3.274542114750066,5657.7803728580475,255,240,230,#FFF0E6,1.0334964556571764,,,,* del Pav,,G8IV,Subgiant,False
Gaia DR3 6673000841376349696,303.4773905559996,-45.16473054247641,162.2171000791857,6.164578207302766,778.3309821152101,-159.9388249728239,-33.51681900024414,7.2426615,1.9117098,7.930789,8.29314464285332,3588.5205078125,0.5671036243438721,13.0831880569458,native_gaia,Gaia,354.80635455854645,-32.97826336407495,5.15009252018134,-0.468119224483834,-3.3555082922253456,3814.031386956936,255,208,156,#FFD09C,0.5521185302201036,-40.72056744930462,1.7435514352007204,-1.1663889509524492,HD 191849,,M0V,Main sequence,False
Gaia DR3 1022456139210632064,138.5835616152243,52.68408016691263,157.88793077923938,6.333606343845312,-1545.7874520604669,-569.052823523412,10.64217758178711,6.976026,1.8173037,7.6036406,7.967770723554821,3745.384033203125,,,native_gaia,Gaia,164.94062985251327,42.66121469828874,-4.497611981869335,1.2101279384341332,4.292044518870246,3901.4257049560547,255,210,161,#FFD2A1,0.573270244368296,-41.92254865311231,-15.048812407666947,-23.98321007647098,HD  79210,,K7V,Main sequence,False
Gaia DR3 1022456104850892928,138.5913117966687,52.68342944184038,157.8824911260602,6.333824560707982,-1573.0402244550992,-659.9060008123529,11.969568252563477,7.054455,1.8464499,7.700493,8.046124654617959,,,,native_gaia,Gaia,164.9403098903627,42.66595197662391,-4.497417473245588,1.2101025374949559,4.292577487468479,3864.9659691787347,255,209,158,#FFD19E,0.5687928768789738,-43.79731295583363,-17.48326265214725,-23.297218275618775,HD  79211,,M0V,Main sequence,False
Gaia DR3 2009481748875806976,348.33773395483047,57.16966644274312,152.86400389732427,6.541762445733662,2074.413511999184,294.4519772796575,-18.67500877380371,5.2318964,1.2163415,5.534931,6.153422553830453,,,,native_gaia,Gaia,109.90752243817003,-3.2007946700945005,-2.224014824583124,6.141253773367288,-0.365261615212708,4867.970668792725,255,228,202,#FFE4CA,0.7519866169254321,-52.730211932882376,-39.83631571207315,-14.249184296117782,HD 219134,,K3V,Main sequence,False
Gaia DR3 1237090738916392704,222.8480514738455,19.100269640072455,148.06949945238355,6.7535853345785215,127.46787577668219,-40.568645496944214,1.592332124710083,4.4804826,0.92511153,4.667576,5.332810619576655,5386.07861328125,0.9037054181098938,4.755022048950195,native_gaia,Gaia,23.085941270015375,61.35566152347092,2.978209690675799,1.2694504569232719,5.927029394833144,5448.782038450241,255,237,224,#FFEDE0,0.8802149482692792,4.02654026772138,2.059319481850159,-0.6499266598116783,* ksi Boo A,,G7Ve,Main sequence,False
Gaia DR3 2828928008202069376,344.1402217312129,16.55216937227734,145.62341010499722,6.8670277620815305,-1034.7334113799404,-284.13086712481174,-27.866117477416992,7.795021,2.1508222,8.646923,8.611177041291967,3398.11328125,,,native_gaia,Gaia,87.05606150961901,-38.18902900085516,0.2771996553830895,5.390191124951643,-4.245594219040075,3627.4070925828887,255,204,148,#FFCC94,0.5252080965060644,32.46041827466351,-17.058447610451722,25.53402906398731,HD 216899,,M1.5V,Main sequence,False
Gaia DR3 2195886971653527168,313.3324563031005,62.150957701503515,142.054284613815,7.03956239488709,0.2591201846900617,-773.0957499352076,-17.786500930786133,7.756715,2.0436773,8.533413,8.51898650767452,3473.958740234375,,,native_gaia,Gaia,98.70974086823658,11.088860446463155,-1.046090985468025,6.828470776817357,1.3539273288409392,3711.0323277915395,255,205,150,#FFCD96,0.5330088339660022,22.101945663786363,-11.139855433403717,-19.218431543222753,HD 199305,,M1.0V,Main sequence,False
HIP 12114,39.02847690555371,6.893281049148194,138.72000122070312,7.208765983581543,1806.27001953125,1442.5,,5.502187,1.177277,5.79,6.212882995605469,,,,transformed_from_johnson,Hipparcos,163.40617240824244,-47.58344286545588,-4.659922450837268,1.3886366126637775,-5.321946835152981,4939.248871803284,255,230,206,#FFE6CE,0.7430675506591796,,,,HD  16160,,K3V,Main sequence,False
Gaia DR3 2552925644460225152,12.099107075154986,5.27553944692346,134.49484768931154,7.435229060298576,755.893500290751,-1141.719303057953,-10.367758750915527,5.467689,1.1095943,5.724894,6.111217274518456,4859.28955078125,0.7615059018135071,,native_gaia,Gaia,121.51924522285258,-57.58786531606898,-2.083467560230411,3.397348054661902,-6.276927616283382,5056.155222112482,255,231,210,#FFE7D2,0.7583174088222315,-1.0301454036863416,-47.57453513906241,-13.126536381671945,HD   4628,,K2.5V,Main sequence,False
HIP 2021,6.482514836505086,-77.25279612610255,133.77999877929688,7.474958896636963,2220.1201171875,324.3699951171875,,2.65879,0.76912737,2.82,3.2907466888427734,,,,transformed_from_johnson,Hipparcos,304.7595064708243,-39.78480301137247,3.2749337412545048,-4.719125424934417,-4.783270295576282,5940.342161005194,255,243,239,#FFF3EF,1.1982892256516675,,,,* bet Hyi,,G0V,Main sequence,False
HIP 5336,17.094758500163685,54.91322603333777,132.39999389648438,7.552870273590088,3421.43994140625,-1599.27001953125,,4.9770083,0.9332055,5.17,5.586448669433594,,,,transformed_from_johnson,Hipparcos,125.38814224893962,-7.877707331216798,-4.332683649858314,6.0993510721075275,-1.0351899628145547,5423.893132567406,255,236,222,#FFECDE,0.837032699584961,,,,* mu. Cas,,G5Vb,Main sequence,False
